DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,2018,4846,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,2019,5860,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AM,2004,1968,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AM,2005,2466,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AM,2006,2797,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AM,2007,2931,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AM,2008,3031,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AM,2009,2829,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AM,2010,2997,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AM,2011,3188,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AM,2014,4496,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AM,2015,3670,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AM,2016,3648,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AM,2018,3820,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AM,2019,3880,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1960,8011,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1961,8045,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1962,7969,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1963,8150,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1964,8390,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1965,8423,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1966,8643,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1967,8880,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1968,9705,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1969,9969,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1970,10356,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1971,10005,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1972,9939,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1973,9972,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1974,10638,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1975,10763,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1976,11168,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1977,11668,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1978,12400,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1979,13072,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1980,13327,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1981,13369,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1982,14298,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1983,14692,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1984,14869,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1985,15460,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1986,14679,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1987,14639,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1988,14924,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1989,15489,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1990,16282,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1991,16391,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1992,16296,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1993,16299,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1994,16928,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1995,18204,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1996,18079,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1997,18027,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1998,17884,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,1999,18512,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,2000,19552,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,2001,20582,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,2002,19918,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,2003,19066,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,2004,19590,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,2005,19453,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,2006,20336,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,2007,20516,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,2008,19701,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,2009,18806,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,2010,17474,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,2011,17295,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,2012,17006,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,2013,15958,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,2014,16647,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,2015,16351,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,2016,15919,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,2017,16180,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,2018,16304,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,2019,16319,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AT,2020,14870,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AZ,2004,6900,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AZ,2005,8900,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AZ,2006,7817,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AZ,2007,8340,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AZ,2008,7933,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AZ,2009,7784,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AZ,2010,8825,
