DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,EU27_2020,2019,31434,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,EU27_2020,2020,29968,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,FI,2017,32790,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,FI,2018,33869,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,FI,2019,34544,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,FI,2020,34426,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,FR,2017,31522,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,FR,2018,32514,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,FR,2019,34249,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,FR,2020,32021,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,HR,2017,18587,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,HR,2018,19511,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,HR,2019,20795,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,HR,2020,19672,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,HU,2017,19503,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,HU,2018,20865,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,HU,2019,22266,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,HU,2020,21558,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,IE,2017,42717,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,IE,2018,44624,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,IE,2019,46340,
