DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,BG,2012,11947,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,BG,2013,10908,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,BG,2014,10584,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,BG,2015,10483,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,BG,2016,10603,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,BG,2017,10411,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,BG,2018,10596,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,BG,2019,10859,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,BG,2020,9015,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,BY,2011,38584,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,BY,2012,39034,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,BY,2013,36105,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,BY,2014,34864,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,BY,2015,32984,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,BY,2016,32628,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,BY,2017,32006,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,BY,2018,33152,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CH,2011,17566,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CH,2012,17550,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CH,2013,17119,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CH,2014,16756,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CH,2015,16982,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CH,2016,17028,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CH,2017,15906,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CH,2018,16542,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CH,2019,16885,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CH,2020,16210,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CY,2011,1934,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CY,2012,2036,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CY,2013,1857,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CY,2014,1884,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CY,2015,1807,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CY,2016,1948,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CY,2017,1932,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CY,2018,2114,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CY,2019,2308,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CZ,2011,28113,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CZ,2012,26402,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CZ,2013,27895,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CZ,2014,26764,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CZ,2015,26083,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CZ,2016,24996,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CZ,2017,25755,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CZ,2018,24313,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CZ,2019,24141,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,CZ,2020,21734,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DE,2011,187640,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DE,2012,179147,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DE,2013,169833,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DE,2014,166199,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DE,2015,163335,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DE,2016,162397,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DE,2017,153501,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DE,2018,148066,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DE,2019,149010,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DE,2020,143801,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DE_TOT,2011,187640,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DE_TOT,2012,179147,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DE_TOT,2013,169833,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DE_TOT,2014,166199,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DE_TOT,2015,163335,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DE_TOT,2016,162397,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DE_TOT,2017,153501,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DE_TOT,2018,148066,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DE_TOT,2019,149010,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DE_TOT,2020,143801,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DK,2011,14484,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DK,2012,15709,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DK,2013,18875,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DK,2014,19435,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DK,2015,16343,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DK,2016,17222,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DK,2017,15265,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DK,2018,15034,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DK,2019,10530,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,DK,2020,15651,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EA18,2011,640023,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EA18,2012,624624,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EA18,2013,600603,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EA18,2014,598061,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EA18,2015,621764,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EA18,2016,634100,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EA19,2011,650364,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EA19,2012,635023,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EA19,2013,610577,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EA19,2014,607867,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EA19,2015,631135,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EA19,2016,642979,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EE,2011,3099,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EE,2012,3142,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EE,2013,3343,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EE,2014,3218,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EE,2015,3382,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EE,2016,3262,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EE,2017,3323,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EE,2018,3199,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EE,2019,2790,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EE,2020,2555,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EEA30_2007,2011,991199,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EEA31,2011,996861,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EFTA,2011,28361,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EL,2011,12705,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EL,2012,14880,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EL,2013,16717,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EL,2014,14427,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EL,2015,15600,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EL,2016,11013,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EL,2017,19190,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,ES,2011,103290,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,ES,2012,104262,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,ES,2013,95427,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,ES,2014,100746,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,ES,2015,96562,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,ES,2016,96824,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,ES,2017,97960,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,ES,2018,95254,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,ES,2019,91645,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,ES,2020,77200,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EU27_2007,2011,980404,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EU27_2007,2012,960558,
ESTAT:DEMO_NDIVIND$DEFAULTVIEW(1.0),16/05/22 11:00:00,A,DIV,EU27_2007,2013,936752,
